genres,keywords,title,cast,director
Adventure Drama Action,moses bible ancient egypt 3d ramses,Exodus: Gods and Kings,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
Science Fiction Action Adventure,spacecraft teleportation space mission parachute time travel,Star Trek,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,J.J. Abrams
Fantasy Action,loss of lover spider thanksgiving bad boss hostility,Spider-Man,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi
Fantasy Action Adventure Animation Comedy,father son relationship wife husband relationship sacrifice viking sequel,How to Train Your Dragon 2,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Dean DeBlois
Fantasy,egypt underworld fight mythology nile,Gods of Egypt,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas
Action,artificial intelligence u.s. navy aftercreditsstinger,Stealth,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen
Action Mystery Science Fiction,dc comics secret identity mass murder retirement based on comic book,Watchmen,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,Zack Snyder
Action Adventure Comedy Crime Thriller,lapd house on fire revolver,Lethal Weapon 4,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,Richard Donner
Drama Action Science Fiction,california san francisco monster general gun,Hulk,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,Ang Lee
Adventure Action Science Fiction Thriller,terror assassin secret technology missile,G.I. Joe: Retaliation,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,Jon M. Chu
Action Adventure Comedy Drama Mystery,tyrant ironclad ship,Sahara,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner
Adventure Action Animation Fantasy Science Fiction,battle assignment dystopia alien downfall scientist,Final Fantasy: The Spirits Within,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi
Action Adventure Science Fiction,new york usa world war ii nazis marvel comic,Captain America: The First Avenger,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston
Adventure Action Thriller,british mission oil heiress bilbao spain,The World Is Not Enough,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted
Adventure,naturalist frigate self surgery sea battle weevil,Master and Commander: The Far Side of the World,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,Peter Weir
Adventure Fantasy Drama Romance,vampire romance villainess super strength imprinting,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,Bill Condon
Animation Comedy Family,penguin musical aftercreditsstinger 3d,Happy Feet Two,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,George Miller
Science Fiction Action Adventure,new york rio de janeiro marvel comic superhero based on comic book,The Incredible Hulk,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier
Adventure Family Fantasy,london england england based on novel queen little girl,The BFG,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg
Western Drama Adventure Thriller,father son relationship rape based on novel mountains winter,The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Animation Family,underdog car race dream speed power,Turbo,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,David Soren
Animation Comedy Family Western Adventure,sheriff nevada pet rango chameleon,Rango,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,Gore Verbinski
Family Animation Adventure Comedy,penguin madagascar 3d,Penguins of Madagascar,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell
Action Drama Mystery Thriller,paris corruption madrid assassin based on novel,The Bourne Ultimatum,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,Paul Greengrass
Adventure Animation Family Comedy,china martial arts kung fu mentor snake,Kung Fu Panda,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne
Science Fiction Action Adventure,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger,Ant-Man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed
Adventure Action Science Fiction,competition based on novel mentor secret factory,The Hunger Games: Catching Fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
Fantasy Comedy Animation Science Fiction Family,friendship spaceship space alien alien invasion,Home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Tim Johnson
Adventure Thriller Science Fiction,post traumatic stress  disorder new jersey airplane dystopia daughter,War of the Worlds,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,Steven Spielberg
Adventure Action Comedy Thriller Crime,miami ku klux klan cuba undercover mexican standoff,Bad Boys II,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,Michael Bay
Action Adventure Animation Family Fantasy,adventure fairy-tale figure,Puss in Boots,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller
Action Mystery Thriller,assassination spy cia kidnapping cold war,Salt,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl,Phillip Noyce
Drama Adventure,bible god noah 3d,Noah,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,Darren Aronofsky
Adventure Animation Mystery,riddle captain treasure liquor treasure hunt,The Adventures of Tintin,Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg,Steven Spielberg
Adventure Fantasy Family,flying traitor magic cutting the cord child hero,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis,Alfonso Cuar\u00f3n
Drama,missionary world war ii ranch australia british,Australia,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,Baz Luhrmann
Science Fiction Action Adventure,dystopia,After Earth,Jaden Smith Will Smith Sophie Okonedo Zo\u00eb Kravitz Glenn Morshower,M. Night Shyamalan
Animation Family,cataclysm asteroid leader comet animation,Dinosaur,D. B. Sweeney Alfre Woodard Ossie Davis Max Casella Hayden Panettiere,Ralph Zondag
Adventure Comedy Fantasy Family,night watchman museum natural history history smithsonian,Night at the Museum: Secret of the Tomb,Ben Stiller Rami Malek Rebel Wilson Robin Williams Owen Wilson,Shawn Levy
Animation Action Comedy Family Science Fiction,saving the world date prison secret identity fish,Megamind,Will Ferrell Brad Pitt Tina Fey Jonah Hill David Cross,Tom McGrath
Adventure Fantasy Family,witch christmas party magic cutting the cord halloween,Harry Potter and the Philosopher's Stone,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Tom Felton,Chris Columbus
Fantasy Action Comedy Crime,gold police operation partner revenge undead,R.I.P.D.,Jeff Bridges Ryan Reynolds Kevin Bacon Stephanie Szostak Mary-Louise Parker,Robert Schwentke
Adventure Fantasy Action,exotic island blacksmith east india trading company gold marriage proposal,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport,Gore Verbinski
Science Fiction Adventure Thriller,resistance post-apocalyptic dystopia war sequel,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland,Francis Lawrence
Thriller Mystery,paris holy grail christianity monk based on novel,The Da Vinci Code,Tom Hanks Audrey Tautou Ian McKellen Paul Bettany Jean Reno,Ron Howard
Animation Adventure Comedy Family,bird sequel jungle audition amazon rainforest,Rio 2,Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy Garc\u00eda,Carlos Saldanha
Adventure Action Science Fiction Thriller,mutant marvel comic superhero based on comic book superhuman,X2,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,Bryan Singer
Action Thriller Crime,brazil fbi freedom escape from prison car crash,Fast Five,Vin Diesel Paul Walker Jordana Brewster Tyrese Gibson Ludacris,Justin Lin
Adventure Action Crime Mystery,detective inspector steampunk criminal mastermind,Sherlock Holmes: A Game of Shadows,Robert Downey Jr. Jude Law Jared Harris Noomi Rapace Kelly Reilly,Guy Ritchie
Adventure Fantasy Action,hades mythology greek mythology zeus medusa,Clash of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Gemma Arterton Jason Flemyng,Louis Leterrier
Action Adventure Science Fiction,oxygen falsely accused resistance mars double life,Total Recall,Arnold Schwarzenegger Sharon Stone Rachel Ticotin Ronny Cox Michael Ironside,Paul Verhoeven
Adventure Fantasy Action,witch cave arabian scandinavia bagdad,The 13th Warrior,Antonio Banderas Vladimir Kulich Dennis Storh\u00f8i Daniel Southern Clive Russell,John McTiernan
Action Thriller,assassin wolf maryland suicide by gunshot rooftop,The Bourne Legacy,Jeremy Renner Rachel Weisz Edward Norton Scott Glenn Stacy Keach,Tony Gilroy
Action Crime Fantasy,double life dc comics dual identity crime fighter fictional place,Batman & Robin,George Clooney Chris O'Donnell Arnold Schwarzenegger Uma Thurman Alicia Silverstone,Joel Schumacher
Family Comedy Fantasy,holiday christmas party new love santa claus village,How the Grinch Stole Christmas,Jim Carrey Taylor Momsen Jeffrey Tambor Christine Baranski Bill Irwin,Ron Howard
Action Adventure Science Fiction Thriller,saving the world library cataclysm climate change greenhouse effect,The Day After Tomorrow,Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O. Sanders,Roland Emmerich
Adventure Action Thriller,terror spain cia helicopter secret identity,Mission: Impossible II,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh,John Woo
Drama,u.s. air force grocery jamaican meteorologist rescue boat,The Perfect Storm,George Clooney Mark Wahlberg Diane Lane John C. Reilly William Fichtner,Wolfgang Petersen
Adventure Fantasy Action Thriller,fire helicopter surfboard mask satellite,Fantastic 4: Rise of the Silver Surfer,Ioan Gruffudd Jessica Alba Chris Evans Michael Chiklis Julian McMahon,Tim Story
Adventure Drama Action,ocean shipwreck hindu tiger faith,Life of Pi,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain,Ang Lee
Thriller Action Fantasy Horror,mephisto religion and supernatural dying and death devil's son ghost world,Ghost Rider,Nicolas Cage Eva Mendes Wes Bentley Donal Logue Sam Elliott,Mark Steven Johnson
Action Thriller,assassin amnesia flashback,Jason Bourne,Matt Damon Alicia Vikander Tommy Lee Jones Vincent Cassel Julia Stiles,Paul Greengrass
Action Adventure Comedy,robbery secret identity secret agent,Charlie's Angels: Full Throttle,Cameron Diaz Drew Barrymore Lucy Liu Bernie Mac Robert Patrick,McG
Science Fiction Adventure Mystery,android dystopia alien spin off creation,Prometheus,Noomi Rapace Michael Fassbender Guy Pearce Idris Elba Logan Marshall-Green,Ridley Scott
Family Adventure Animation Comedy,mouse falcon bird friendship family,Stuart Little 2,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Anna Hoelck,Rob Minkoff
Science Fiction Action Drama Thriller,dystopia space station class conflict,Elysium,Matt Damon Jodie Foster Sharlto Copley Alice Braga Diego Luna,Neill Blomkamp
Action Science Fiction,prison dystopia matter of life and death outer space intergalactic travel,The Chronicles of Riddick,Vin Diesel Thandie Newton Karl Urban Colm Feore Linus Roache,David Twohy
Action Science Fiction,cyborg future dystopia police remake,RoboCop,Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley,Jos\u00e9 Padilha
Action Family Science Fiction,car race loss of brother chimp family duringcreditsstinger,Speed Racer,Emile Hirsch Christina Ricci Matthew Fox Susan Sarandon Scott Porter,Lilly Wachowski
Comedy Drama Romance,love triangle baseball athlete aftercreditsstinger,How Do You Know,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn,James L. Brooks
Action Comedy,spy airport gas station garage pilot,Knight and Day,Tom Cruise Cameron Diaz Peter Sarsgaard Viola Davis Jordi Moll\u00e0,James Mangold
Action Science Fiction Adventure Mystery,spacecraft dystopia space drone imax,Oblivion,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau,Joseph Kosinski
Science Fiction Adventure Action,showdown death star vision cult figure hatred,Star Wars: Episode III - Revenge of the Sith,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
Adventure Action Science Fiction,senate investigation army death star jedi,Star Wars: Episode II - Attack of the Clones,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
Animation Comedy Family,monster infant energy supply company rivalry,"Monsters, Inc.",John Goodman Billy Crystal Mary Gibbs Steve Buscemi James Coburn,Pete Docter
Action Science Fiction Adventure Fantasy,japan samurai mutant world war i marvel comic,The Wolverine,Hugh Jackman Hiroyuki Sanada Famke Janssen Will Yun Lee Tao Okamoto,James Mangold
Adventure Action Science Fiction,prophecy senate queen taskmaster galaxy,Star Wars: Episode I - The Phantom Menace,Liam Neeson Ewan McGregor Natalie Portman Jake Lloyd Ian McDiarmid,George Lucas
Adventure Animation Comedy Family Fantasy,stone age daughter father prehistoric ancient world,The Croods,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,Chris Sanders
Fantasy Adventure Comedy Family,competition greece colosseum olympic games emperor,Asterix at the Olympic Games,Clovis Cornillac G\u00e9rard Depardieu Franck Dubosc Jos\u00e9 Garcia St\u00e9phane Rousseau,Thomas Langmann
Drama Action History War,japan world war ii radio transmission marine corps u.s. army,Windtalkers,Nicolas Cage Adam Beach Peter Stormare Noah Emmerich Mark Ruffalo,John Woo
Action Adventure Drama,witch magic fairy tale snow white huntsman,The Huntsman: Winter's War,Chris Hemsworth Charlize Theron Emily Blunt Jessica Chastain Nick Frost,Cedric Nicolas-Troyan
Science Fiction Action Adventure Fantasy Comedy,martial arts terrorist hero mutation van,Teenage Mutant Ninja Turtles,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,Jonathan Liebesman
Science Fiction Thriller Drama,space mission loss space astronaut trapped in space,Gravity,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso Cuar\u00f3n
Action Adventure Thriller,helicopter small town mayor evacuation motel,Dante's Peak,Pierce Brosnan Linda Hamilton Jamie Ren\u00e9e Smith Jeremy Foley Elizabeth Hoffman,Roger Donaldson
Fantasy Action Adventure Comedy,brother brother relationship turtle sequel based on comic book ninja,Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox Stephen Amell Will Arnett Laura Linney Pete Ploszek,Dave Green
Action Adventure Science Fiction,teleportation transformation telekinesis portal marvel comic,Fantastic Four,Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell,Josh Trank
Action Adventure Comedy Family Fantasy,museum skeleton night shift chaos genghis khan,Night at the Museum,Ben Stiller Jake Cherry Carla Gugino Robin Williams Dick Van Dyke,Shawn Levy
Action Drama Thriller,california earthquake catastrophe disaster film 3d,San Andreas,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Brad Peyton
Adventure Action Thriller,london england england spy china news broadcast,Tomorrow Never Dies,Pierce Brosnan Jonathan Pryce Michelle Yeoh Teri Hatcher Ricky Jay,Roger Spottiswoode
